onset	duration	trial_type
10.0145518779755	17.982203245163	speaking
38.0124411582947	17.9822046756744	speaking
66.0103318691254	17.9822051525116	speaking
94.0082240104675	17.9988720417023	speaking
122.00611782074	17.9988722801208	hearing
150.004012823105	17.9988741874695	hearing
178.001909971237	17.9988739490509	hearing
206.016473054886	17.9822089672089	speaking
234.014371871948	17.9822101593018	hearing
262.012272119522	17.9822096824646	speaking
290.010173797607	17.9822103977203	hearing
318.008075237274	17.9988768100739	hearing
346.005977869034	17.998877286911	speaking
374.003882169724	17.9988777637482	hearing
